dataset,species,guild,d2H,long,lat
hebert,MALL,Dabblers,-124.79,-151,61.5
hebert,MALL,Dabblers,-118.44,-151,61.5
hebert,MALL,Dabblers,-114.64,-151,61.5
hebert,MALL,Dabblers,-115.55,-151,61.5
hebert,NOPI,Dabblers,-161,-115.5,62.8
hebert,MALL,Dabblers,-155,-115.5,62.8
hebert,MALL,Dabblers,-158,-115.5,62.8
hebert,MALL,Dabblers,-158,-115.5,62.8
hebert,MALL,Dabblers,-167,-115.5,62.8
hebert,MALL,Dabblers,-165,-115.5,62.8
hebert,MALL,Dabblers,-161.6,-115.5,62.8
hebert,MALL,Dabblers,-164.02,-115.5,62.8
hebert,MALL,Dabblers,-157.76,-115.5,62.8
hebert,MALL,Dabblers,-161.03,-115.5,62.8
hebert,MALL,Dabblers,-154.97,-115.5,62.8
hebert,NOPI,Dabblers,-139,-103.6,51.6
hebert,MALL,Dabblers,-108,-103.6,51.6
hebert,MALL,Dabblers,-101,-103.6,51.6
hebert,MALL,Dabblers,-110,-103.6,51.6
hebert,MALL,Dabblers,-114,-103.6,51.6
hebert,NOPI,Dabblers,-127.01,-103.6,51.6
hebert,NOPI,Dabblers,-126.98,-103.6,51.6
hebert,MALL,Dabblers,-141.5,-103.6,51.6
hebert,MALL,Dabblers,-105.53,-103.6,51.6
hebert,MALL,Dabblers,-143.02,-103.6,51.6
hebert,MALL,Dabblers,-143.63,-113.2,53.12
hebert,MALL,Dabblers,-141.17,-113.2,53.12
hebert,MALL,Dabblers,-141,-113.2,53.12
hebert,MALL,Dabblers,-135,-113.2,53.12
hebert,MALL,Dabblers,-125.33,-113.2,53.12
hebert,MALL,Dabblers,-137.34,-113.2,53.12
hebert,MALL,Dabblers,-123.58,-113.2,53.12
hebert,MALL,Dabblers,-142,-117.4,56.1
hebert,MALL,Dabblers,-146,-117.4,56.1
hebert,MALL,Dabblers,-136,-117.4,56.1
hebert,MALL,Dabblers,-170.66,-117.4,56.1
hebert,MALL,Dabblers,-147.61,-117.4,56.1
hebert,MALL,Dabblers,-160.22,-117.4,56.1
hebert,MALL,Dabblers,-157,-117.4,56.1
hebert,MALL,Dabblers,-142,-117.4,56.1
hebert,MALL,Dabblers,-151,-117.4,56.1
hebert,MALL,Dabblers,-159,-117.4,56.1
hebert,MALL,Dabblers,-140.86,-117.4,56.1
hebert,MALL,Dabblers,-150.93,-117.4,56.1
hebert,MALL,Dabblers,-115.37,-113.4,50.3
hebert,MALL,Dabblers,-140,-113.4,50.3
hebert,MALL,Dabblers,-130,-113.4,50.3
hebert,MALL,Dabblers,-106,-113.4,50.3
hebert,MALL,Dabblers,-139,-113.4,50.3
hebert,NOPI,Dabblers,-152,-113.4,50.3
hebert,NOPI,Dabblers,-123,-113.4,50.3
hebert,MALL,Dabblers,-122,-113.4,50.3
hebert,MALL,Dabblers,-126,-113.4,50.3
hebert,MALL,Dabblers,-128,-113.4,50.3
hebert,MALL,Dabblers,-135.62,-113.4,50.3
hebert,MALL,Dabblers,-141.93,-113.4,50.3
hebert,MALL,Dabblers,-143.52,-113.4,50.3
hebert,MALL,Dabblers,-147.56,-113.4,50.3
hebert,MALL,Dabblers,-147.31,-113.4,50.3
hebert,MALL,Dabblers,-151,-118.3,56
hebert,MALL,Dabblers,-158,-118.3,56
hebert,MALL,Dabblers,-153.3,-118.3,56
hebert,MALL,Dabblers,-155.82,-118.3,56
hebert,MALL,Dabblers,-164.9,-118.3,56
hebert,MALL,Dabblers,-159.89,-118.3,56
hebert,MALL,Dabblers,-163.63,-118.3,56
hebert,MALL,Dabblers,-171.56,-118.3,56
hebert,MALL,Dabblers,-146.29,-118.3,56
hebert,MALL,Dabblers,-164.06,-118.3,56
hebert,MALL,Dabblers,-155.08,-118.3,56
hebert,MALL,Dabblers,-152.64,-118.3,56
hebert,MALL,Dabblers,-171,-112.4,52.2
hebert,MALL,Dabblers,-135,-112.4,52.2
hebert,MALL,Dabblers,-141,-112.4,52.2
hebert,MALL,Dabblers,-144,-112.4,52.2
hebert,MALL,Dabblers,-173,-112.4,52.2
hebert,MALL,Dabblers,-120.29,-110.6,50.05
hebert,MALL,Dabblers,-133.8,-110.6,50.05
hebert,MALL,Dabblers,-126.43,-110.6,50.05
hebert,MALL,Dabblers,-135.03,-110.6,50.05
hebert,MALL,Dabblers,-106.77,-120.84,37.1
hebert,MALL,Dabblers,-72.38,-120.84,37.1
hebert,MALL,Dabblers,-69.92,-120.84,37.1
hebert,MALL,Dabblers,-74.83,-120.84,37.1
hebert,MALL,Dabblers,-93.26,-120.84,37.1
hebert,NOPI,Dabblers,-109.55,-120.84,37.1
hebert,NOPI,Dabblers,-111.57,-120.84,37.1
hebert,NOPI,Dabblers,-114.31,-120.84,37.1
hebert,NOPI,Dabblers,-109.68,-120.84,37.1
hebert,NOPI,Dabblers,-105.47,-120.84,37.1
hebert,MALL,Dabblers,-106.57,-120.84,37.1
hebert,MALL,Dabblers,-82.72,-120.84,37.1
hebert,MALL,Dabblers,-102.59,-120.84,37.1
hebert,MALL,Dabblers,-108.82,-120.84,37.1
hebert,MALL,Dabblers,-99.02,-120.84,37.1
hebert,MALL,Dabblers,-100.63,-121.6,41.8
hebert,MALL,Dabblers,-98.17,-121.6,41.8
hebert,MALL,Dabblers,-104.32,-121.6,41.8
hebert,MALL,Dabblers,-96.95,-121.6,41.8
hebert,MALL,Dabblers,-92.03,-121.6,41.8
hebert,MALL,Dabblers,-96.95,-121.6,41.8
hebert,NOPI,Dabblers,-87,-121.6,41.8
hebert,MALL,Dabblers,-86,-121.6,41.8
hebert,MALL,Dabblers,-74,-121.6,41.8
hebert,MALL,Dabblers,-112,-121.6,41.8
hebert,MALL,Dabblers,-104.83,-121.6,41.8
hebert,MALL,Dabblers,-90.8,-121.6,41.8
hebert,MALL,Dabblers,-111.86,-121.6,41.8
hebert,MALL,Dabblers,-106.35,-121.6,41.8
hebert,MALL,Dabblers,-107.56,-121.6,41.8
hebert,MALL,Dabblers,-93.26,-121.58,38.09
hebert,MALL,Dabblers,-104.32,-121.58,38.09
hebert,MALL,Dabblers,-94.49,-121.58,38.09
hebert,MALL,Dabblers,-114.14,-121.58,38.09
hebert,MALL,Dabblers,-93.26,-121.58,38.09
hebert,MALL,Dabblers,-104.32,-121.58,38.09
hebert,MALL,Dabblers,-99.79,-121.58,38.09
hebert,MALL,Dabblers,-86.24,-121.58,38.09
hebert,MALL,Dabblers,-99.81,-121.58,38.09
hebert,MALL,Dabblers,-125,-104.5,45.5
hebert,MALL,Dabblers,-120,-104.5,45.5
hebert,MALL,Dabblers,-141,-104.5,45.5
hebert,MALL,Dabblers,-144,-104.5,45.5
hebert,MALL,Dabblers,-137,-104.5,45.5
hebert,MALL,Dabblers,-135,-104.5,45.5
hebert,MALL,Dabblers,-112,-99,44.5
hebert,MALL,Dabblers,-102,-99,44.5
hebert,MALL,Dabblers,-131,-99,44.5
hebert,MALL,Dabblers,-94,-99,44.5
hebert,MALL,Dabblers,-102,-99,44.5
hebert,MALL,Dabblers,-118,-99,44.5
hebert,MALL,Dabblers,-131.34,-98.3,46.8
hebert,MALL,Dabblers,-131.34,-98.3,46.8
hebert,MALL,Dabblers,-139.94,-98.3,46.8
hebert,MALL,Dabblers,-132.57,-98.3,46.8
hebert,MALL,Dabblers,-126.43,-98.3,46.8
hebert,MALL,Dabblers,-142.4,-98.3,46.8
hebert,MALL,Dabblers,-117.83,-102.6,47.3
hebert,MALL,Dabblers,-132.57,-102.6,47.3
hebert,MALL,Dabblers,-105.54,-102.6,47.3
hebert,MALL,Dabblers,-122.74,-102.6,47.3
hebert,MALL,Dabblers,-127.66,-102.6,47.3
hebert,MALL,Dabblers,-97,-101,46.5
hebert,MALL,Dabblers,-96,-101,46.5
hebert,MALL,Dabblers,-93,-101,46.5
hebert,MALL,Dabblers,-91,-101,46.5
hebert,MALL,Dabblers,-166.97,-118.25,61.5
hebert,MALL,Dabblers,-151,-118.25,61.5
hebert,MALL,Dabblers,-158.37,-118.25,61.5
hebert,MALL,Dabblers,-169.43,-118.25,61.5
hebert,MALL,Dabblers,-184.86,-118.25,61.5
hebert,MALL,Dabblers,-183.61,-118.25,61.5
hebert,MALL,Dabblers,-185.57,-118.25,61.5
hebert,MALL,Dabblers,-181.97,-118.25,61.5
hebert,MALL,Dabblers,-176.94,-118.25,61.5
hebert,MALL,Dabblers,-182,-125.45,65.25
hebert,MALL,Dabblers,-190,-125.45,65.25
hebert,MALL,Dabblers,-193,-125.45,65.25
hebert,MALL,Dabblers,-176.8,-125.45,65.25
hebert,MALL,Dabblers,-180.83,-125.45,65.25
hebert,MALL,Dabblers,-181.74,-125.45,65.25
hebert,MALL,Dabblers,-188.62,-125.45,65.25
hebert,MALL,Dabblers,-181.72,-125.45,65.25
hebert,MALL,Dabblers,-122.74,-102.25,54
hebert,MALL,Dabblers,-246.82,-102.25,54
hebert,MALL,Dabblers,-147.31,-102.25,54
hebert,MALL,Dabblers,-147.31,-102.25,54
hebert,MALL,Dabblers,-245.59,-102.25,54
hebert,MALL,Dabblers,-216.11,-102.25,54
hebert,MALL,Dabblers,-169.24,-102.25,54
hebert,MALL,Dabblers,-159.39,-102.25,54
hebert,MALL,Dabblers,-159.85,-102.25,54
hebert,MALL,Dabblers,-179.34,-102.25,54
hebert,MALL,Dabblers,-165.17,-102.25,54
hebert,MALL,Dabblers,-150,-108.3,53.1
hebert,MALL,Dabblers,-157,-108.3,53.1
hebert,MALL,Dabblers,-159.6,-108.3,53.1
hebert,MALL,Dabblers,-171,-108.3,53.1
hebert,MALL,Dabblers,-161,-108.3,53.1
hebert,MALL,Dabblers,-101,-104.8,52.25
hebert,MALL,Dabblers,-107,-104.8,52.25
hebert,MALL,Dabblers,-110,-104.8,52.25
hebert,MALL,Dabblers,-133,-104.8,52.25
hebert,MALL,Dabblers,-104,-104.8,52.25
hebert,MALL,Dabblers,-169.43,-109.3,51.5
hebert,MALL,Dabblers,-169.43,-109.3,51.5
hebert,MALL,Dabblers,-124.26,-109.3,51.5
hebert,MALL,Dabblers,-143.68,-109.3,51.5
hebert,MALL,Dabblers,-129.17,-109.3,51.5
hebert,MALL,Dabblers,-132.93,-109.3,51.5
hebert,MALL,Dabblers,-128.97,-109.3,51.5
hebert,MALL,Dabblers,-162.06,-135,63.4
hebert,MALL,Dabblers,-163.28,-135,63.4
hebert,MALL,Dabblers,-141.17,-135,63.4
hebert,MALL,Dabblers,-149.77,-135,63.4
hebert,MALL,Dabblers,-137.49,-135,63.4
hebert,MALL,Dabblers,-148.54,-135,63.4
hebert,NOPI,Dabblers,-141,-112.9,52.45
hebert,NOPI,Dabblers,-129,-112.9,52.45
hebert,MALL,Dabblers,-146,-112.9,52.45
hebert,MALL,Dabblers,-124,-112.9,52.45
hebert,NOPI,Dabblers,-148.54,-111.8,49.37
hebert,NOPI,Dabblers,-154.88,-111.8,49.37
hebert,MALL,Dabblers,-129,-108.45,53.17
hebert,MALL,Dabblers,-130.49,-108.45,53.17
hebert,MALL,Dabblers,-131.24,-108.45,53.17
hebert,MALL,Dabblers,-126.47,-108.45,53.17
hebert,MALL,Dabblers,-126.04,-108.45,53.17
hebert,MALL,Dabblers,-133.84,-108.45,53.17
hebert,MALL,Dabblers,-130,-113,53.33
hebert,MALL,Dabblers,-206,-113,53.33
hebert,MALL,Dabblers,-255,-113,53.33
hebert,MALL,Dabblers,-86,-116.63,49.23
hebert,NOPI,Dabblers,-126.99,-106.7,50.4
hebert,NOPI,Dabblers,-119.36,-106.7,50.4
hebert,MALL,Dabblers,-125.12,-106.7,50.4
hebert,MALL,Dabblers,-122.52,-106.7,50.4
hebert,MALL,Dabblers,-150.23,-112.83,52.17
hebert,MALL,Dabblers,-146.6,-112.83,52.17
hebert,MALL,Dabblers,-147.74,-112.83,52.17
hebert,MALL,Dabblers,-131.56,-121.3,41.83
hebert,MALL,Dabblers,-128,-121.3,41.83
hebert,MALL,Dabblers,-136.82,-121.3,41.83
hebert,MALL,Dabblers,-130.24,-121.3,41.83
hebert,MALL,Dabblers,-124.78,-121.3,41.83
hebert,MALL,Dabblers,-126.5,-100.8,49.6
hebert,MALL,Dabblers,-137.47,-100.8,49.6
hebert,MALL,Dabblers,-111.52,-100.33,49.26
hebert,MALL,Dabblers,-111.7,-100.33,49.26
hebert,MALL,Dabblers,-113.1,-103.5,44
hebert,MALL,Dabblers,-128.65,-103.5,44
hebert,MALL,Dabblers,-136.25,-103.5,44
hebert,MALL,Dabblers,-137.22,-103.5,44
hebert,MALL,Dabblers,-110.46,-103.5,44
hebert,MALL,Dabblers,-114.81,-102.33,48.33
hebert,MALL,Dabblers,-116.29,-102.33,48.33
hebert,MALL,Dabblers,-117.36,-102.33,48.33
hebert,MALL,Dabblers,-112.61,-102.33,48.33
hebert,MALL,Dabblers,-116.74,-102.33,48.33
hebert,MALL,Dabblers,-108.38,-99,46
hebert,MALL,Dabblers,-101.22,-99,46
hebert,MALL,Dabblers,-97.01,-99,46
hebert,MALL,Dabblers,-109.77,-99,46
hebert,MALL,Dabblers,-110.57,-99,46
dijk,MALL,Dabblers,-134.5,27.359444,63.149444
dijk,MALL,Dabblers,-134.9,27.359444,63.149444
dijk,MALL,Dabblers,-142.4,27.359444,63.149444
dijk,MALL,Dabblers,-132.3,27.359444,63.149444
dijk,MALL,Dabblers,-132.1,27.359444,63.149444
dijk,MALL,Dabblers,-132.7,27.359444,63.149444
dijk,MALL,Dabblers,-136.3,27.359444,63.149444
dijk,MALL,Dabblers,-131.9,27.359444,63.149444
dijk,MALL,Dabblers,-145.6,27.359444,63.149444
dijk,MALL,Dabblers,-135.5,27.359444,63.149444
dijk,MALL,Dabblers,-139.5,27.359444,63.149444
dijk,MALL,Dabblers,-139.2,27.359444,63.149444
dijk,MALL,Dabblers,-143.5,27.359444,63.149444
dijk,MALL,Dabblers,-139.6,27.359444,63.149444
dijk,MALL,Dabblers,-140.6,27.359444,63.149444
dijk,MALL,Dabblers,-140.3,27.359444,63.149444
dijk,MALL,Dabblers,-125.4,27.359444,63.149444
dijk,MALL,Dabblers,-144.7,27.359444,63.149444
dijk,MALL,Dabblers,-136.2,27.359444,63.149444
dijk,MALL,Dabblers,-129.6,27.359444,63.149444
dijk,MALL,Dabblers,-124.8,10.8325,59.880833
dijk,MALL,Dabblers,-127.7,10.8325,59.880833
dijk,MALL,Dabblers,-108.3,10.8325,59.880833
dijk,MALL,Dabblers,-107.1,10.8325,59.880833
dijk,MALL,Dabblers,-120.7,10.8325,59.880833
dijk,MALL,Dabblers,-114,10.800278,59.92
dijk,MALL,Dabblers,-108,23.005556,56.968889
dijk,MALL,Dabblers,-108.9,23.005556,56.968889
dijk,MALL,Dabblers,-117.5,23.005556,56.968889
dijk,MALL,Dabblers,-119.5,23.005556,56.968889
dijk,MALL,Dabblers,-101.3,23.090833,57.283611
dijk,MALL,Dabblers,-121.2,39.233333,55.883333
dijk,MALL,Dabblers,-132.2,39.233333,55.883333
dijk,MALL,Dabblers,-110.9,39.233333,55.883333
dijk,MALL,Dabblers,-130.9,39.233333,55.883333
dijk,MALL,Dabblers,-132.8,39.233333,55.883333
dijk,MALL,Dabblers,-123.6,39.233333,55.883333
dijk,MALL,Dabblers,-131.3,39.233333,55.883333
dijk,MALL,Dabblers,-123.9,39.316667,55.816667
dijk,MALL,Dabblers,-128,39.316667,55.816667
dijk,MALL,Dabblers,-127.9,39.316667,55.816667
dijk,MALL,Dabblers,-132,39.316667,55.816667
dijk,MALL,Dabblers,-96.6,19.0371,53.9181
dijk,MALL,Dabblers,-116.5,19.0371,53.9181
dijk,MALL,Dabblers,-115,18.5902,54.3151
dijk,MALL,Dabblers,-115.4,18.5902,54.3151
dijk,MALL,Dabblers,-114,18.5902,54.3151
dijk,MALL,Dabblers,-113.3,19.5641,53.5945
dijk,MALL,Dabblers,-102.7,19.7565,53.5032
dijk,MALL,Dabblers,-103,20.4316,52.0571
dijk,MALL,Dabblers,-98.3,20.4316,52.0571
dijk,MALL,Dabblers,-111.9,20.4316,52.0571
dijk,MALL,Dabblers,-84.9,20.9803,52.2843
dijk,MALL,Dabblers,-115.4,20.9803,52.2843
dijk,MALL,Dabblers,-108.4,20.9803,52.2843
dijk,MALL,Dabblers,-103.5,20.9803,52.2843
dijk,MALL,Dabblers,-97.3,20.9803,52.2843
dijk,MALL,Dabblers,-121.3,18.5799,54.3178
dijk,MALL,Dabblers,-113.2,18.5799,54.3178
dijk,MALL,Dabblers,-119.3,15.2636,54.0643
dijk,MALL,Dabblers,-107,17.0383,54.4599
dijk,MALL,Dabblers,-108.9,19.959,53.7038
dijk,MALL,Dabblers,-117.1,19.959,53.7038
dijk,MALL,Dabblers,-94.7,19.959,53.7038
dijk,MALL,Dabblers,-89.5,20.8789,53.0222
dijk,MALL,Dabblers,-108.3,20.1395,51.9599
dijk,MALL,Dabblers,-106.9,19.2845,51.9686
dijk,MALL,Dabblers,-102.7,17.504,51.974
dijk,MALL,Dabblers,-102.1,4.723889,51.877222
dijk,MALL,Dabblers,-98.6,4.723889,51.877222
dijk,MALL,Dabblers,-99.2,4.723889,51.877222
dijk,MALL,Dabblers,-98.3,4.723889,51.877222
dijk,MALL,Dabblers,-97.4,4.723889,51.877222
dijk,MALL,Dabblers,-89.4,4.723889,51.877222
dijk,MALL,Dabblers,-90.8,4.723889,51.877222
dijk,MALL,Dabblers,-88.8,4.723889,51.877222
dijk,MALL,Dabblers,-97.6,4.723889,51.877222
dijk,MALL,Dabblers,-89.7,4.723889,51.877222
dijk,MALL,Dabblers,-92.2,4.723889,51.877222
dijk,MALL,Dabblers,-90.4,4.723889,51.877222
dijk,MALL,Dabblers,-90.1,4.723889,51.877222
dijk,MALL,Dabblers,-100.2,4.723889,51.877222
dijk,MALL,Dabblers,-94.7,4.723889,51.877222
dijk,MALL,Dabblers,-96.6,4.723889,51.877222
dijk,MALL,Dabblers,-97.7,4.723889,51.877222
dijk,MALL,Dabblers,-97.9,4.723889,51.877222
dijk,MALL,Dabblers,-108.6,4.723889,51.877222
dijk,MALL,Dabblers,-99.5,4.723889,51.877222
dijk,MALL,Dabblers,-110.6,4.723889,51.877222
dijk,MALL,Dabblers,-92.3,4.723889,51.877222
dijk,MALL,Dabblers,-116.5,4.723889,51.877222
dijk,MALL,Dabblers,-107.9,4.723889,51.877222
dijk,MALL,Dabblers,-107.8,4.723889,51.877222
dijk,MALL,Dabblers,-117.7,4.723889,51.877222
dijk,MALL,Dabblers,-111.8,4.723889,51.877222
dijk,MALL,Dabblers,-107.6,4.723889,51.877222
dijk,MALL,Dabblers,-88.6,4.723889,51.877222
dijk,MALL,Dabblers,-91.7,4.723889,51.877222
dijk,MALL,Dabblers,-103.8,4.723889,51.877222
dijk,MALL,Dabblers,-85.9,4.723889,51.877222
dijk,MALL,Dabblers,-100.9,4.723889,51.877222
dijk,MALL,Dabblers,-103.4,4.723889,51.877222
dijk,MALL,Dabblers,-89.8,4.723889,51.877222
dijk,MALL,Dabblers,-87.8,4.723889,51.877222
dijk,MALL,Dabblers,-86.1,4.723889,51.877222
dijk,MALL,Dabblers,-94,4.723889,51.877222
dijk,MALL,Dabblers,-106.7,4.723889,51.877222
dijk,MALL,Dabblers,-115.2,4.942222,52.894167
dijk,MALL,Dabblers,-102.5,4.942222,52.894167
dijk,MALL,Dabblers,-101.8,4.942222,52.894167
dijk,MALL,Dabblers,-114.7,4.942222,52.894167
dijk,MALL,Dabblers,-99.9,4.942222,52.894167
dijk,MALL,Dabblers,-82.4,4.942222,52.894167
dijk,MALL,Dabblers,-111.1,4.942222,52.894167
dijk,MALL,Dabblers,-109.6,4.942222,52.894167
dijk,MALL,Dabblers,-91.1,4.942222,52.894167
dijk,MALL,Dabblers,-92.9,4.942222,52.894167
dijk,MALL,Dabblers,-97.2,4.942222,52.894167
dijk,MALL,Dabblers,-109.2,4.942222,52.894167
dijk,MALL,Dabblers,-97.7,4.942222,52.894167
dijk,MALL,Dabblers,-110.8,4.942222,52.894167
dijk,MALL,Dabblers,-88.9,4.942222,52.894167
dijk,MALL,Dabblers,-83.8,4.942222,52.894167
dijk,MALL,Dabblers,-93.2,4.942222,52.894167
dijk,MALL,Dabblers,-112.9,4.942222,52.894167
dijk,MALL,Dabblers,-96.4,-2.405833,51.741667
dijk,MALL,Dabblers,-93.1,3.868611,50.750556
dijk,MALL,Dabblers,-101.3,3.868611,50.750556
dijk,MALL,Dabblers,-93.8,3.532222,50.760833
dijk,MALL,Dabblers,-97.9,3.532222,50.760833
dijk,MALL,Dabblers,-94.1,3.532222,50.760833
dijk,MALL,Dabblers,-105,3.532222,50.760833
dijk,MALL,Dabblers,-79.7,4.261944,51.015833
dijk,MALL,Dabblers,-77.5,4.261944,51.015833
dijk,MALL,Dabblers,-68.1,4.261944,51.015833
dijk,MALL,Dabblers,-86.2,4.261944,51.015833
dijk,MALL,Dabblers,-89.5,4.311667,51.166389
dijk,MALL,Dabblers,-91.6,4.311667,51.166389
dijk,MALL,Dabblers,-90.5,4.311667,51.166389
dijk,MALL,Dabblers,-95,4.666389,50.828333
dijk,MALL,Dabblers,-79.1,4.666389,50.828333
dijk,MALL,Dabblers,-96.9,4.666389,50.828333
dijk,MALL,Dabblers,-86.2,4.666389,50.828333
dijk,MALL,Dabblers,-91.4,4.666389,50.828333
dijk,MALL,Dabblers,-65.9,4.666389,50.828333
dijk,MALL,Dabblers,-82.9,4.666389,50.828333
dijk,MALL,Dabblers,-89.4,4.666389,50.828333
dijk,MALL,Dabblers,-72.4,4.666389,50.828333
dijk,MALL,Dabblers,-97.7,4.806389,50.9375
dijk,MALL,Dabblers,-75.7,4.806389,50.9375
dijk,MALL,Dabblers,-87.6,4.806389,50.9375
dijk,MALL,Dabblers,-92.6,4.806389,50.9375
dijk,MALL,Dabblers,-93.5,4.806389,50.9375
dijk,MALL,Dabblers,-95.3,4.806389,50.9375
dijk,MALL,Dabblers,-85.1,4.806389,50.9375
dijk,MALL,Dabblers,-92.8,4.806389,50.9375
dijk,MALL,Dabblers,-75.2,4.806389,50.9375
dijk,MALL,Dabblers,-118,11.708889,48.20667
dijk,MALL,Dabblers,-122.2,11.708889,48.20667
dijk,MALL,Dabblers,-119.6,11.708889,48.20667
dijk,MALL,Dabblers,-89,17.975556,46.981389
dijk,MALL,Dabblers,-104.6,19.058611,47.603333
dijk,MALL,Dabblers,-102.3,19.058611,47.603333
dijk,MALL,Dabblers,-106.4,19.058611,47.603333
dijk,MALL,Dabblers,-110.4,19.058611,47.603333
dijk,MALL,Dabblers,-106.2,19.058611,47.603333
dijk,MALL,Dabblers,-110.4,8.156111,47.143611
dijk,MALL,Dabblers,-109,8.156111,47.143611
dijk,MALL,Dabblers,-102.6,8.156111,47.143611
dijk,MALL,Dabblers,-101,8.156111,47.143611
dijk,MALL,Dabblers,-100.7,8.156111,47.143611
dijk,MALL,Dabblers,-101.5,8.156111,47.143611
dijk,MALL,Dabblers,-103.2,8.156111,47.143611
dijk,MALL,Dabblers,-103.5,8.156111,47.143611
dijk,MALL,Dabblers,-104.6,8.156111,47.143611
dijk,MALL,Dabblers,-96,8.156111,47.143611
dijk,MALL,Dabblers,-99.5,8.156111,47.143611
dijk,MALL,Dabblers,-99.9,8.156111,47.143611
dijk,MALL,Dabblers,-113.9,8.156111,47.143611
dijk,MALL,Dabblers,-114.8,8.156111,47.143611
dijk,MALL,Dabblers,-110.4,8.156111,47.143611
dijk,MALL,Dabblers,-114.7,8.156111,47.143611
dijk,MALL,Dabblers,-116.3,8.156111,47.143611
dijk,MALL,Dabblers,-120.8,8.156111,47.143611
dijk,MALL,Dabblers,-113.5,8.156111,47.143611
dijk,MALL,Dabblers,-117.7,8.156111,47.143611
dijk,MALL,Dabblers,-115.9,8.156111,47.143611
dijk,MALL,Dabblers,-117.4,8.156111,47.143611
dijk,MALL,Dabblers,-103,12.257778,44.393889
dijk,MALL,Dabblers,-108.4,11.345278,44.399167
dijk,MALL,Dabblers,-92.1,11.345278,44.399167
dijk,MALL,Dabblers,-90.4,2.254167,41.930278
dijk,MALL,Dabblers,-86.8,2.254167,41.930278
dijk,MALL,Dabblers,-102,2.254167,41.930278
dijk,MALL,Dabblers,-105.5,2.254167,41.930278
dijk,MALL,Dabblers,-84.5,2.254167,41.930278
dijk,MALL,Dabblers,-78.4,-7.548611,40.6875
dijk,MALL,Dabblers,-80.6,-7.548611,40.6875
dijk,MALL,Dabblers,-79.4,-7.548611,40.6875
dijk,MALL,Dabblers,-81.4,-7.548611,40.6875
dijk,MALL,Dabblers,-78.9,-7.548611,40.6875
dijk,MALL,Dabblers,-81,-7.548611,40.6875
